节点名称,产业链,层级,A_进口依存度(0-4),B_技术成熟度反向(0-4),C_断供风险(0-4),D_突破难度(0-4),总分(0-16),卡脖子等级,等级说明,判断依据
防冻液,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
真空助力器,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,博世真空助力器在国内高端市场占主导
斜交轮胎,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
传感器芯片,新能源汽车,4级/上游,3,3,3,3,12,A级,重度卡脖子,车规传感器芯片严重依赖博世/意法/英飞凌
半钢子午线轮胎,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内充足
油门踏板,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车大灯,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有一定竞争力
变速器油泵,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有生产
天然橡胶,新能源汽车,4级/上游,3,0,1,0,4,C级,低风险,中国天然橡胶90%依赖东南亚进口，属资源非技术瓶颈
汽车温度传感器,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,高端车规温度传感器依赖进口
车载人机交互系统,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,智能座舱核心依赖高通/华为平台
汽车胶管,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
轮胎平衡块,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
制动器主缸,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,博世/大陆在制动主缸领域主导高端
轮胎气门嘴,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车转向管柱,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有一定能力
汽车雾灯,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
车载显示器,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,高端显示面板依赖三星/LG，但国内在追赶
汽车缓速器,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,电涡流缓速器部分依赖进口
钢帘线,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
聚偏氟乙烯（PVDF）,新能源汽车,4级/上游,3,3,2,3,11,A级,重度卡脖子,电池级PVDF严重依赖阿科玛/苏威，已成隐患
鼓式制动器,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有能力
汽车洗涤系统,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车空调管路,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车天线,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有产业基础
车载雷达,新能源汽车,4级/上游,3,3,2,3,11,A级,重度卡脖子,毫米波雷达芯片依赖英飞凌/NXP/德州仪器
特种轮胎,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,高端特种轮胎部分依赖进口
钴盐,新能源汽车,4级/上游,3,2,2,1,8,B级,中度受限,钴资源高度依赖刚果金，国内精炼有能力
驻车制动器,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有生产
汽车大灯控制电机,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内有生产
汽车后视镜电机,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车转向泵轴,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车牌照灯,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车防撞梁,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车车门,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
充电桩,新能源汽车,4级/下游,0,0,0,0,0,D级,中国优势,中国充电桩产业全球最大
二手车零售,新能源汽车,4级/下游,0,0,0,0,0,D级,中国优势,纯服务
车载电源更换服务,新能源汽车,4级/下游,0,0,0,0,0,D级,中国优势,纯服务
汽车充电枪,新能源汽车,4级/下游,0,0,0,0,0,D级,中国优势,国内完全自给
乘用车,新能源汽车,4级/中游,1,0,0,0,1,C级,低风险,中国乘用车已有全球竞争力（比亚迪等）
纯电动汽车,新能源汽车,4级/中游,0,0,0,0,0,D级,中国优势,中国NEV全球绝对优势
休闲汽车,新能源汽车,4级/中游,1,1,0,0,2,C级,低风险,国内有一定能力
商用车,新能源汽车,4级/中游,1,0,0,0,1,C级,低风险,中国商用车产量全球最大
混合动力汽车,新能源汽车,4级/中游,1,1,0,0,2,C级,低风险,比亚迪DM-i等有竞争力
燃料电池汽车,新能源汽车,4级/中游,2,2,2,2,8,B级,中度受限,氢燃料电池车核心材料依赖进口
动力型锂离子电池,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,宁德时代/比亚迪全球最强
仪表板系统,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,国内有完整供应链
汽车减震器,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,高端减震器依赖天纳克/萨克斯
汽车密封条,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
锂电芯,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,宁德时代/比亚迪/亿纬等全球前列
汽车变速器,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,高端AT/DCT依赖爱信/ZF/格特拉克
座椅系统,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,国内延锋/博泽有竞争力
顶棚,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
悬架弹性元件,新能源汽车,5级/上游,1,1,1,1,4,C级,低风险,高端弹性元件依赖进口
刹车片,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,国内有能力，高端依赖欧洲
车载超声波雷达,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,法雷奥/博世在超声波雷达主导
车载导航,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,高德/百度地图+国内芯片有竞争力
碳酸锂,新能源汽车,5级/上游,2,2,1,1,6,B级,中度受限,中国碳酸锂提炼能力强，但矿源依赖进口
其他汽车内饰件,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
轮毂,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
膜电极,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,燃料电池膜电极催化剂依赖铂族金属/戈尔等进口
制动防抱死系统,新能源汽车,5级/上游,3,3,3,3,12,A级,重度卡脖子,ABS/ESC 95%依赖博世/大陆，已有安全失效案例
变速器零配件,新能源汽车,5级/上游,2,2,1,1,6,B级,中度受限,部分精密零配件依赖进口
锂电铜箔,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,铜箔国产化率高，诺德/嘉元等竞争力强
汽车遮阳板,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车保险杠,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车安全气囊系统,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,奥托立夫/均胜等主导，气囊模块仍有依赖
氢氧化锂,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,赣锋锂业等有竞争力
汽车冷却器,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
稳定杆,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
石墨电极,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,中国石墨电极产量全球第一
汽车减震器零部件,新能源汽车,5级/上游,1,1,1,1,4,C级,低风险,部分精密件依赖进口
汽车散热器,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车玻璃,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,福耀玻璃全球领先
高级驾驶辅助系统（ADAS),新能源汽车,5级/上游,4,4,3,4,15,S级,极度卡脖子,ADAS芯片依赖Mobileye/英伟达，感知算法/数据高度依赖
等速万向节,新能源汽车,5级/上游,1,1,1,1,4,C级,低风险,高端等速万向节依赖GKN等
汽车电子稳定控制系统,新能源汽车,5级/上游,3,3,3,3,12,A级,重度卡脖子,ESC系统博世独占80%+市场，国内无实质替代
储能型锂离子电池,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,中国储能电池全球绝对优势
汽车后视镜,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车天窗,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,伟巴斯特主导，国内在追赶
汽车水泵,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
电池壳,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
车用空调压缩机,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,国内电动压缩机有竞争力
电机驱动芯片,新能源汽车,5级/上游,3,3,3,3,12,A级,重度卡脖子,高端电机驱动IC依赖英飞凌/ST/德赛西威
发动机废气再循环系统,新能源汽车,5级/上游,2,2,1,1,6,B级,中度受限,传统件，部分高端依赖进口
图像传感器芯片,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,CMOS传感器依赖索尼/安森美，车规品更严格
汽车安全气囊控制系统,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,ACU控制单元依赖奥托立夫/均胜
汽车雨刮器及其零部件,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车发动机管理系统,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,EMS严重依赖博世/大陆/电装三强
轮胎压力监测系统,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,TPMS传感器依赖法雷奥/森萨塔
汽车铝合金车轮,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车隔音隔热产品,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
电池导电剂,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,国内导电炭黑/碳纳米管有产业
汽车门护板,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
六氟磷酸锂,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,国内天赐/多氟多已是全球主要供应商
其他汽车外饰件,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
三元聚合物锂电池,新能源汽车,5级/上游,1,0,0,0,1,C级,低风险,宁德时代/比亚迪有竞争力，钴资源有隐患
汽车进气格栅,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车CAN总线控制系统,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,CAN/LIN控制芯片依赖NXP/英飞凌
电容触控芯片,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,高端触控芯片依赖汇顶/奇景光电等
离合器踏板,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
平视显示系统,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,HUD光学元件/投影芯片依赖日本/美国
其他汽车转向部件,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
质子交换膜,新能源汽车,5级/上游,4,4,4,4,16,S级,极度卡脖子,杜邦Nafion垄断，中国燃料电池最大技术瓶颈
制动毂,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
转向器零部件,新能源汽车,5级/上游,1,1,1,1,4,C级,低风险,部分精密件有进口
汽车挡泥板,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
钢制车轮,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
燃料电池隔膜板,新能源汽车,5级/上游,3,3,3,3,12,A级,重度卡脖子,燃料电池双极板精密石墨加工依赖进口技术
刹车盘,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,国内有能力，高端依赖欧洲
车用空调电磁离合器,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
氟橡胶,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,电池级氟橡胶依赖3M/苏威，国内产能不足
电池电堆,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,燃料电池电堆关键材料大量依赖进口
泊车雷达,新能源汽车,5级/上游,2,2,1,2,7,B级,中度受限,超声波雷达有国产，毫米波依赖进口
车门附件,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
氢燃料电池,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,核心催化剂/膜材依赖进口，丰田技术壁垒高
液晶仪表屏,新能源汽车,5级/上游,2,2,1,1,6,B级,中度受限,TFT面板国内追赶中，车规品仍部分依赖
汽车空调控制器,新能源汽车,5级/上游,1,1,0,0,2,C级,低风险,国内有产业
钴酸锂电池,新能源汽车,5级/上游,2,2,1,1,6,B级,中度受限,钴资源依赖进口是核心约束
FLASH芯片,新能源汽车,5级/上游,3,3,3,3,12,A级,重度卡脖子,车规NOR/NAND依赖三星/美光/Winbond
汽车空调换热器,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
动力式转向器,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,EPS高端依赖捷太格特/博世
车门内板,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车空调出风口,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
指纹识别芯片,新能源汽车,5级/上游,2,2,2,2,8,B级,中度受限,高端指纹芯片依赖汇顶/美国厂商
车载激光雷达,新能源汽车,5级/上游,3,3,2,3,11,A级,重度卡脖子,高端激光雷达芯片/VCSEL依赖美国II-VI/Lumentum
汽车差速器壳体,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
DRAM芯片,新能源汽车,5级/上游,4,4,3,3,14,S级,极度卡脖子,车规DRAM 100%依赖三星/SK海力士/美光，长鑫尚在追赶
红土镍矿,新能源汽车,5级/上游,3,0,1,0,4,C级,低风险,中国红土镍矿90%+依赖印尼进口，属资源非技术卡脖子
汽车喇叭,新能源汽车,5级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
客车,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,中国客车/新能源客车全球第一
轿车,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,中国轿车产量全球第一
货车,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,中国货车产量全球第一
MPV,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,国内完全自给
SUV,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,比亚迪/长城等全球竞争力强
交叉型乘用车,新能源汽车,5级/中游,0,0,0,0,0,D级,中国优势,国内完全自给
